,account_id,win_rate,match_id,rank,average_kda,average_kills,average_deaths,average_assists,average_cs,average_denies,average_networth,average_gold_per_minute,average_exp_per_minute,average_tower_damage,average_hero_damage,average_hero_healing,average_camps_stacked,average_individual_match_performance,average_vision_participation,recent_win_rate,recent_times_left,curr_team_wl_rate
34,151053629.0,0.5040717736369911,7792942701,80,8.555335775335775,13.56,14.26,25.58,445.08,23.04,3051.44,1080.74,1361.78,3841.56,53601.62,1429.48,1.96,-16.84,8.68,0.5,0.04,0.6521739130434783
35,180484265.0,0.5071117011189077,7792942701,80,9.14359657009657,11.96,13.96,26.9,328.1,9.02,3671.38,893.88,1139.6,5958.66,46520.92,2005.5,1.16,-2.98,8.5,0.4,0.0,0.4
36,1054791832.0,0.5347156770342444,7792942701,80,13.739263347763348,13.78,8.3,22.56,627.88,14.32,4729.82,1226.82,1454.88,14988.98,51642.42,1383.98,0.84,6.9,6.24,0.46,0.0,0.3333333333333333
37,382453473.0,0.5123378275248028,7792942701,80,10.197660783660783,11.24,12.96,23.88,427.1,18.94,4477.5,1011.02,1223.16,10165.0,39133.96,1559.56,1.54,-12.0,8.6,0.38,0.0,0.25
38,299079087.0,0.5299963194700037,7792942701,80,5.711125906429312,14.4,17.52,25.46,384.32,11.44,3498.62,1007.64,1273.92,6403.46,48318.04,658.34,2.2,-12.38,10.22,0.42,0.0,0.38461538461538464
39,268548112.0,0.5410872313527181,7792942701,80,8.116995032745033,13.64,15.02,30.48,337.52,9.26,3154.08,938.84,1272.82,6364.26,44208.9,358.26,2.96,8.3,9.18,0.46,0.08,0.45454545454545453
40,410043298.0,0.5223581311409665,7792942701,80,9.628872773425405,11.66,15.24,31.76,294.0,10.7,2713.72,921.34,1210.42,5924.74,45227.92,2866.78,2.76,5.34,5.22,0.54,0.0,0.4166666666666667
41,1483461388.0,0.5295815295815296,7792938217,75,7.737352536352537,15.82,13.76,24.36,577.62,15.98,4143.14,1178.84,1412.26,13229.88,56018.96,893.5,2.72,-8.42,3.22,0.34,0.04,0.4
42,245517127.0,0.502424133596696,7792938217,80,8.400136988742252,14.2,15.44,27.0,442.1,10.72,4035.38,1016.1,1309.22,5636.56,57951.56,1690.4,3.26,-5.16,4.42,0.42,0.0,0.5384615384615384
43,1146695598.0,0.5387062566277837,7792938217,74,11.799410589410591,15.18,12.66,29.84,365.96,9.06,3678.24,1032.54,1317.2,7472.68,47550.64,2580.32,1.76,4.08,6.24,0.6,0.04,0.5806451612903226
44,303214451.0,0.5239024390243903,7792938217,75,10.869005661005662,10.3,12.12,35.28,277.84,13.44,2534.5,879.48,1240.8,3840.96,39962.02,2875.14,4.1,15.52,11.8,0.46,0.1,0.4166666666666667
45,335134384.0,0.4984283789851819,7792938217,75,7.716939393939395,17.34,13.66,20.94,361.6,12.84,4286.16,994.3,1384.16,4395.56,49975.02,628.24,1.78,-1.46,5.24,0.56,0.04,0.5
46,858822410.0,0.5052954292084727,7792938217,74,8.218149822399822,13.28,15.24,33.34,278.28,7.82,3512.82,832.46,1158.06,3192.78,44794.46,3616.74,3.18,4.22,18.12,0.46,0.0,0.5416666666666666
47,400517093.0,0.5353510895883777,7792938217,74,6.9967193411164,16.4,17.18,24.36,324.62,13.14,3108.34,919.6,1209.86,4315.68,50924.1,1114.32,1.46,-9.18,6.6,0.52,0.0,0.4827586206896552
48,1106196664.0,0.5167862931234082,7792938217,75,6.158435619935619,8.8,18.7,35.28,157.6,6.84,2298.36,722.0,1009.3,3117.22,33571.3,8858.0,2.1,-8.66,13.48,0.64,0.02,0.5714285714285714
49,252243192.0,0.5035597460073119,7792934504,65,8.393432178932178,17.26,11.32,19.44,625.28,19.36,3912.16,1199.04,1559.46,12955.6,52932.94,3803.58,1.82,-10.1,2.96,0.48,0.04,0.46153846153846156
50,155179945.0,0.516802038541169,7792934504,72,16.162782106782107,16.36,9.8,28.36,397.64,13.3,4307.36,976.5,1297.52,5627.66,51983.4,980.54,2.22,12.16,9.22,0.4,0.0,0.4230769230769231
51,156037526.0,0.5384615384615384,7792934504,71,10.02369785769786,13.22,6.96,15.8,254.96,11.54,2612.9999999999995,707.9,860.32,5952.72,35852.76,441.98,0.52,7.86,8.46,0.68,0.0,0.6923076923076923
52,364960551.0,0.5018732970027248,7792934504,73,4.446301037198096,7.74,23.24,38.58,109.26,2.16,1812.7,660.82,908.78,1655.34,41584.0,8919.78,1.74,-11.04,22.32,0.44,0.08,0.4
