match_id,player_slot,account_id,assists,camps_stacked,damage_taken,deaths,denies,gold_perm_min,hero_damage,hero_healing,hero_id,kills,team_slot,last_hits,leaver_status,rune_pickups,obs_placed,sen_placed,tower_damaged,xp_per_min,isRadiant,total_gold,kda,rank_tier,matchId,position
7794510209,1,171729003.0,17,,,7,9,,15239,195,119,2,1,77,0,,,,,497,1,15290,2.38,72.0,7794510209,2
7794510209,2,,15,,,10,17,,35830,0,28,14,2,199,0,,,,,831,1,24730,2.64,,7794510209,3
7794510209,3,101467991.0,25,,,12,1,,18361,18196,83,5,3,41,0,,,,,531,1,15782,2.31,72.0,7794510209,4
7794510209,128,244327029.0,21,,,6,2,,29986,1573,63,3,0,232,0,,,,,859,0,23796,3.43,73.0,7794510209,1
7794510209,129,211722387.0,18,,,11,9,,33118,1715,104,3,1,280,0,,,,,671,0,23403,1.75,73.0,7794510209,2
7794510209,130,1083373723.0,5,,,3,15,,98764,0,12,22,2,534,0,,,,,1266,0,45577,6.75,72.0,7794510209,3
7794510209,131,120972498.0,13,,,10,10,,47762,0,21,7,3,309,0,,,,,754,0,27926,1.82,73.0,7794510209,4
7794510209,132,1295731994.0,25,,,19,2,,21614,0,87,2,4,37,0,,,,,488,0,15684,1.35,72.0,7794510209,5
7794520318,0,294155887.0,18,,,11,3,,15283,0,3,4,0,43,0,,,,,492,1,12143,1.83,71.0,7794520318,1
7794520318,1,1006206109.0,6,,,9,13,,24767,0,76,9,1,254,0,,,,,879,1,20748,1.5,72.0,7794520318,2
7794520318,2,66618671.0,11,,,9,9,,12794,663,54,1,2,272,0,,,,,639,1,17321,1.2,71.0,7794520318,3
7794520318,3,342999939.0,11,,,10,1,,38614,0,105,14,3,45,0,,,,,517,1,16129,2.27,72.0,7794520318,4
7794520318,4,144139039.0,14,,,13,5,,24920,0,2,6,4,129,0,,,,,620,1,15160,1.43,72.0,7794520318,5
7794520318,128,267310520.0,18,,,6,10,,23690,7782,136,15,0,86,0,,,,,785,0,19258,4.71,72.0,7794520318,1
7794520318,129,,14,,,5,16,,23807,0,63,8,1,353,0,,,,,1087,0,26037,3.67,,7794520318,2
7794520318,130,380550996.0,28,,,7,2,,16436,0,123,5,2,96,0,,,,,648,0,16427,4.13,71.0,7794520318,3
7794520318,132,399708448.0,17,,,10,14,,23620,1769,104,5,4,196,0,,,,,669,0,20003,2.0,72.0,7794520318,5
7794534502,0,,4,,,4,4,,5695,0,75,3,0,29,0,,,,,198,1,4814,1.4,,7794534502,1
7794534502,1,872004837.0,6,,,6,1,,9497,0,7,2,1,26,0,,,,,246,1,4772,1.14,80.0,7794534502,2
7794534502,2,153114896.0,2,,,2,17,,2237,0,1,0,2,147,0,,,,,415,1,7428,0.67,80.0,7794534502,3
7794534502,3,405543795.0,2,,,8,7,,17430,0,47,8,3,68,0,,,,,410,1,8383,1.11,80.0,7794534502,4
7794534502,4,166840081.0,2,,,11,7,,1928,0,49,0,4,74,0,,,,,325,1,5498,0.17,80.0,7794534502,5
7794534502,128,1237755820.0,2,,,0,18,,15894,0,11,15,0,211,0,,,,,628,0,18031,17.0,80.0,7794534502,1
7794534502,129,85870495.0,13,,,3,0,,9369,0,55,5,1,100,0,,,,,480,0,11765,4.5,80.0,7794534502,2
7794534502,130,340786628.0,9,,,6,2,,5560,0,96,1,2,66,0,,,,,389,0,8258,1.43,80.0,7794534502,3
7794534502,131,65048585.0,16,,,2,4,,7353,0,100,4,3,10,0,,,,,359,0,7407,6.67,80.0,7794534502,4
7794540517,0,91362933.0,10,,,1,9,,7534,0,7,4,0,72,0,,,,,405,1,7684,7.0,80.0,7794540517,1
7794540517,1,,6,,,0,6,,8728,0,38,5,1,131,0,,,,,547,1,9922,11.0,,7794540517,2
7794540517,2,193377814.0,9,,,1,0,,5368,0,31,1,2,6,0,,,,,280,1,4569,5.0,80.0,7794540517,3
7794540517,3,871492837.0,7,,,0,1,,9689,125,21,8,3,26,0,,,,,384,1,7011,15.0,80.0,7794540517,4
7794540517,4,284258104.0,6,,,2,5,,7286,0,95,7,4,79,0,,,,,391,1,8466,4.33,80.0,7794540517,5
7794540517,128,365385387.0,0,,,5,0,,5103,0,19,2,0,85,0,,,,,481,0,6760,0.33,80.0,7794540517,1
7794540517,129,180378296.0,3,,,5,3,,7392,450,83,1,1,47,0,,,,,391,0,4820,0.67,80.0,7794540517,2
7794540517,130,199538916.0,0,,,11,0,,123,0,11,0,2,3,0,,,,,100,0,1956,0.0,80.0,7794540517,3
7794540517,132,368714653.0,1,,,4,1,,1189,0,41,1,4,2,0,,,,,190,0,2472,0.4,80.0,7794540517,5
7794533802,0,134402641.0,24,,,7,0,,18067,3368,123,4,0,50,0,,,,,479,1,12267,3.5,71.0,7794533802,1
7794533802,1,164442853.0,18,,,6,14,,25565,0,38,6,1,250,0,,,,,776,1,19880,3.43,71.0,7794533802,2
7794533802,2,144569195.0,11,,,4,15,,26610,0,126,9,2,162,0,,,,,710,1,18181,4.0,71.0,7794533802,3
7794533802,3,214542798.0,8,,,3,19,,29984,9762,8,16,3,312,0,,,,,1028,1,25453,6.0,71.0,7794533802,4
7794533802,4,,17,,,5,1,,14849,0,51,9,4,45,0,,,,,572,1,13219,4.33,,7794533802,5
7794533802,128,145177340.0,16,,,11,8,,14285,0,20,3,0,49,0,,,,,436,0,9617,1.58,64.0,7794533802,1
7794533802,129,141540469.0,13,,,5,8,,36263,0,39,6,1,157,0,,,,,519,0,14714,3.17,71.0,7794533802,2
7794533802,130,852105006.0,11,,,13,0,,21591,108,30,10,2,66,0,,,,,407,0,15054,1.5,64.0,7794533802,3
7794533802,131,178030268.0,4,,,9,10,,8228,225,10,1,3,257,0,,,,,568,0,15122,0.5,65.0,7794533802,4
7794533802,132,137335912.0,12,,,6,14,,20399,0,129,4,4,154,0,,,,,475,0,14442,2.29,65.0,7794533802,5
7794537311,0,,5,,,5,10,,17764,0,10,6,0,215,0,,,,,766,1,16498,1.83,,7794537311,1
7794537311,1,302341336.0,15,,,17,2,,15232,195,128,2,1,37,1,,,,,340,1,8567,0.94,71.0,7794537311,2
7794537311,2,968548760.0,11,,,10,5,,18229,195,75,8,2,55,0,,,,,419,1,11147,1.73,72.0,7794537311,3
7794537311,3,1010403750.0,7,,,10,5,,14146,110,11,3,3,156,0,,,,,466,1,12262,0.91,72.0,7794537311,4
7794537311,4,1256089928.0,9,,,6,2,,15173,0,28,9,4,115,1,,,,,553,1,13759,2.57,72.0,7794537311,5
7794537311,128,3819722.0,15,,,4,1,,21026,0,2,10,0,139,0,,,,,650,0,16944,5.0,72.0,7794537311,1
7794537311,129,109104463.0,20,,,5,4,,14870,2840,110,8,1,71,0,,,,,539,0,15638,4.67,72.0,7794537311,2
7794537311,130,1058900129.0,21,,,11,0,,16081,192,31,5,2,46,0,,,,,419,0,12708,2.17,72.0,7794537311,3
7794537311,131,401003333.0,6,,,3,4,,27930,0,95,14,3,265,0,,,,,847,0,24046,5.0,72.0,7794537311,4
7794537311,132,175721523.0,13,,,5,18,,22938,0,86,9,4,162,0,,,,,734,0,17517,3.67,71.0,7794537311,5
7794541603,0,205671804.0,9,,,14,2,,21556,2375,40,2,0,61,0,,,,,297,1,11407,0.73,80.0,7794541603,1
7794541603,1,241414535.0,7,,,9,0,,19314,0,107,4,1,209,0,,,,,576,1,15017,1.1,80.0,7794541603,2
7794541603,2,,6,,,4,4,,23349,0,74,5,2,206,0,,,,,584,1,18266,2.2,,7794541603,3
7794541603,4,143067868.0,7,,,8,11,,15329,0,44,2,4,274,0,,,,,693,1,17833,1.0,80.0,7794541603,5
7794541603,128,108204607.0,20,,,1,23,,29875,400,63,10,0,255,0,,,,,784,0,23717,15.0,80.0,7794541603,1
7794541603,129,110856185.0,27,,,6,5,,19126,0,33,5,1,156,0,,,,,471,0,16461,4.57,80.0,7794541603,2
7794541603,130,174285703.0,21,,,5,0,,11929,0,26,5,2,49,0,,,,,454,0,12743,4.33,73.0,7794541603,3
7794541603,131,108554548.0,14,,,3,16,,35733,0,49,17,3,282,0,,,,,828,0,25089,7.75,80.0,7794541603,4
7794541603,132,76843811.0,18,,,4,7,,19546,4572,30,14,4,57,0,,,,,593,0,16461,6.4,80.0,7794541603,5
7794541814,0,326174926.0,24,,,1,5,,7881,15421,102,2,0,59,0,,,,,547,1,10906,13.0,72.0,7794541814,1
7794541814,1,374332353.0,7,,,3,4,,38422,2161,110,26,1,304,0,,,,,1174,1,26611,8.25,72.0,7794541814,2
7794541814,2,81285686.0,25,,,5,1,,13783,0,123,7,2,70,0,,,,,546,1,13174,5.33,72.0,7794541814,3
7794541814,3,220549329.0,17,,,0,36,,24349,1648,54,11,3,273,0,,,,,775,1,22277,28.0,72.0,7794541814,4
7794541814,4,1050959056.0,12,,,1,18,,12313,0,129,9,4,266,0,,,,,784,1,17508,10.5,72.0,7794541814,5
7794541814,128,76358225.0,2,,,7,15,,7032,0,61,0,0,163,0,,,,,467,0,11022,0.25,72.0,7794541814,1
7794541814,129,1110645791.0,2,,,5,15,,6265,104,8,4,1,219,0,,,,,578,0,13087,1.0,72.0,7794541814,2
7794541814,130,218372755.0,1,,,11,3,,17102,0,22,2,2,102,0,,,,,489,0,9219,0.25,72.0,7794541814,3
7794541814,131,,2,,,16,10,,11310,500,85,3,3,50,0,,,,,348,0,8317,0.29,,7794541814,4
7794545711,0,912382947.0,4,,,8,1,,5367,125,20,1,0,33,0,,,,,302,1,5726,0.56,75.0,7794545711,1
7794545711,1,1674713765.0,4,,,7,3,,15143,0,11,2,1,165,1,,,,,491,1,10826,0.75,80.0,7794545711,2
7794545711,2,322394583.0,3,,,6,4,,4537,0,114,0,2,226,0,,,,,557,1,11113,0.43,80.0,7794545711,3
7794545711,3,154057139.0,5,,,8,0,,11205,125,105,5,3,40,0,,,,,298,1,7191,1.11,80.0,7794545711,4
